,wine_id,seo_cleaned,alcohol
342,7445908,casal-das-freiras-colheita-branco,12.0
343,1236950,niepoort-loureiro-docil,11.0
344,1165841,cartuxa-ea-tinto,12.5
345,6421786,opta-mola-branco,0.0
346,3904933,porta-6-branco,12.0
347,2440703,antonio-lopes-douro,13.5
348,6328291,porta-6-rose,12.5
349,2273406,porta-6-tinto,13.5
350,75993,ferreira-ruby-po,
351,76001,ferreira-white-port-bran,
352,1731188,monte-cascas-colheita-douro-branco,0.0
353,1731188,monte-cascas-colheita-douro-branco,0.0
354,2780656,quinta-do-popa-branco,13.0
355,3118882,jose-maria-da-fonseca-ripanco-private-selection-alentejano-alentejano,13.7
356,1170226,monte-cascas-alentejano-tinto,0.0
357,1310551,quinta-da-lixa-pouco-comum-alvarinho,12.5
358,3784027,montalegre-classico-tinto,0.0
359,1686831,azamor-single-estate-red,14.5
360,1686831,azamor-single-estate-red,14.5
361,5729178,ab-valley-abcdarium-avesso,13.0
362,3664921,ribeiro-santo-encruzado,13.5
363,1219022,casa-ermelinda-freitas-terras-do-sado-quinta-da-mimosa-palmela,14.5
364,1493079,cartuxa-ea-reserva-tinto,14.0
365,1134201,burmester-white-por,
366,1293385,burmester-ruby-po,
367,4623548,rola-douro-rose,0.0
368,3583172,rola-douro-branco,13.0
369,45254,quinta-do-crasto-crasto-branco,12.0
370,1809963,herdade-dos-grous-alentejano-branco,13.0
371,1126803,burmester-tawny-por,
372,1939768,casal-branco-touriga-nacional,13.0
373,7335948,quinta-do-paral-alentejano-rose,13.0
374,5429904,quinta-do-paral-alentejano-branco,13.5
375,5429904,quinta-do-paral-alentejano-branco,13.5
376,1199466,casa-ermelinda-freitas-terras-do-sado-syrah-reserva,14.5
377,4539660,quinta-da-plansel-plansel-selecta-reserva-branco,14.0
378,1274033,quinta-nova-de-nossa-senhora-do-carmo-douro-tinto-colheita-unoaked,13.8
379,5131413,casa-de-santar-dao-branco-dao,13.0
380,8176049,aveleda-solos-de-granito-alvarinho,12.0
381,8030611,aveleda-solos-de-xisto-alvarinho,0.0
382,1165411,casa-de-santar-dao,13.5
383,2376360,cortes-de-cima-chamine-tinto,13.5
384,1753274,quinta-da-plansel-plansel-selecta-reserva,14.0
385,5131413,casa-de-santar-dao-branco-dao,13.0
386,76396,pt-calem-velhotes-white-por,
387,1491255,pt-calem-velhotes-tawny-por,
388,1810025,seara-d-ordens-reserva-branco,13.0
389,5690827,mayor-reserva-tinto-alentejo,14.5
390,2233701,darei-lagar-de-darei-branco,13.0
391,7126121,monte-cascas-colheita-organic-tinto,13.0
392,6694008,mocho-galego-alentejano-signature-tinto,13.5
393,5326923,casal-das-freiras-touriga-nacional-cabernet-sauvignon,13.5
394,1168092,adega-cooperativa-de-borba-alentejo-premium-tinto,14.0
395,6419174,monte-da-capela-premium-branco,0.0
396,2414319,casa-ermelinda-freitas-terras-do-sado-terras-do-po-castas-chardonnay-viognier-terras-do-sado,13.5
397,1188015,kopke-fine-ruby-po,
398,76375,kopke-fine-tawny-po,
399,1199637,kopke-fine-white-po,
400,1151640,carm-branco,12.5
401,1809963,herdade-dos-grous-alentejano-branco,13.0
402,2034259,niepoort-porto-dry-whi,
403,11026830,mayor-reserva-branco,12.5
404,1222725,chryseia-prazo-de-roriz-douro,13.0
405,5690827,mayor-reserva-tinto-alentejo,14.5
406,1928188,quinta-da-plansel-marques-de-montemor-reserva,14.5
407,5461301,lavradores-de-feitoria-tres-bagos-reserva-tinto,14.0
408,6290886,fitapreta-monte-fernao-alentejano,15.0
409,8492810,mainova-branco,13.5
410,1165411,casa-de-santar-dao,13.5
411,1265624,niepoort-white-po,
412,1279506,real-companhia-velha-malvasia-white-po,
413,16964,quinta-do-vallado-tinto,13.5
414,1247331,casa-ermelinda-freitas-terras-do-sado-sauvignon-blanc-verdelho,13.5
415,1951724,arrepiado-velho-branco,13.0
416,1243034,casa-ermelinda-freitas-terras-do-sado-sauvignon-blanc,13.5
417,1158938,pt-quevedo-tawny-po,
418,2752113,pt-quevedo-ruby-po,
419,1500174,pt-quevedo-white-po,
420,8859393,casa-ermelinda-freitas-terras-do-sado-flor-de-la-mar-reserva-tinto,14.5
421,8597640,casa-ermelinda-freitas-terras-do-sado-flor-de-la-mar-reserva-branco,0.0
422,11105035,quinta-vale-d-maria-douro-superior-branco,13.5
423,8305831,quinta-vale-d-maria-douro-superior,15.0
424,2666963,barao-de-vilar-tawny-po,
425,1427091,monte-cascas-colheita-douro-tinto,14.0
426,1177824,sexy-tinto,14.0
427,1282146,gomariz-loureiro,12.0
428,3427903,carm-vinha-da-urze-reserva-branco,13.0
429,2570885,pt-vista-alegre-dry-white-po,
430,1201076,pt-anselmo-mendes-contacto-alvarinho,13.0
431,1851983,niepoort-tawny-po,
432,1383115,niepoort-ruby-po,
433,1501530,amoreira-da-torre-zebro-tinto,14.3
434,1138731,esporao-esporao-reserva-branco,14.0
435,1199466,casa-ermelinda-freitas-terras-do-sado-syrah-reserva,14.5
436,45244,quinta-do-crasto-crasto-red,14.0
437,10688374,bacalhoa-vinhos-de-portugal-catarina-rose,12.5
438,8448623,casa-ermelinda-freitas-terras-do-sado-vinha-do-fava-reserva-tinto,15.0
439,1275071,pt-jp-moscatel-de-setubal-peninsula-of-setubal-fortified-wine-v,0.0
440,18510,bacalhoa-vinhos-de-portugal-catarina-branco,14.0
441,1199470,casa-ermelinda-freitas-terras-do-sado-touriga-nacional-reserva,14.5
442,76397,pt-calem-porto-ruby-velhot,
443,1224383,melgaco-qm-alvarinho,13.0
444,1149925,aneto-tinto,14.0
445,1201076,pt-anselmo-mendes-contacto-alvarinho,13.0
446,1151641,carm-rose,12.55
447,5402364,porta-6-reserva,14.0
448,4460515,maria-izabel-m-i-tinto,13.0
449,1589104,porto-cruz-tawny-po,
450,1779582,porto-cruz-ruby-po,
451,2685785,niepoort-dao-rotulo-tinto,12.5
452,4895474,niepoort-dao-rotulo-branco-dao,12.0
453,1151644,carm-douro-tinto,13.5
454,9559604,carm-formiga-biologico-tinto,0.0
