Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.61,0.01,0.5676721284650104
100% Corpus,9,0.61,0.31,0.5764807124040363
100% Corpus,9,0.61,0.61,0.5722200412187048
100% Corpus,9,0.61,0.9099999999999999,0.5747833820267221
100% Corpus,9,0.61,symmetric,0.5768210437393028
100% Corpus,9,0.9099999999999999,0.01,0.5674400039670411
100% Corpus,9,0.9099999999999999,0.31,0.5898971899053685
100% Corpus,9,0.9099999999999999,0.61,0.5912417046660478
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.5864568246161441
100% Corpus,9,0.9099999999999999,symmetric,0.5916672163997219
100% Corpus,9,symmetric,0.01,0.5629821893978681
100% Corpus,9,symmetric,0.31,0.556997714181677
100% Corpus,9,symmetric,0.61,0.6063433193931468
100% Corpus,9,symmetric,0.9099999999999999,0.6106232049216316
100% Corpus,9,symmetric,symmetric,0.5691140721348188
100% Corpus,9,asymmetric,0.01,0.5620242171737636
100% Corpus,9,asymmetric,0.31,0.6025873438659842
100% Corpus,9,asymmetric,0.61,0.6523970502638448
100% Corpus,9,asymmetric,0.9099999999999999,0.620267084906521
100% Corpus,9,asymmetric,symmetric,0.5732890171756652
100% Corpus,10,0.01,0.01,0.5890996740345023
100% Corpus,10,0.01,0.31,0.566847483798899
100% Corpus,10,0.01,0.61,0.5809730887253368
100% Corpus,10,0.01,0.9099999999999999,0.5274033072619689
100% Corpus,10,0.01,symmetric,0.5750634426729041
100% Corpus,10,0.31,0.01,0.5987566012493
100% Corpus,10,0.31,0.31,0.6198292680352395
100% Corpus,10,0.31,0.61,0.6028127680570338
100% Corpus,10,0.31,0.9099999999999999,0.5956265410250337
100% Corpus,10,0.31,symmetric,0.597096675022717
100% Corpus,10,0.61,0.01,0.564157679545527
100% Corpus,10,0.61,0.31,0.5662606914155977
100% Corpus,10,0.61,0.61,0.5613005743111499
100% Corpus,10,0.61,0.9099999999999999,0.56232852998821
100% Corpus,10,0.61,symmetric,0.5839803619516677
100% Corpus,10,0.9099999999999999,0.01,0.5867006835724204
100% Corpus,10,0.9099999999999999,0.31,0.6132808588775065
100% Corpus,10,0.9099999999999999,0.61,0.6026305751069536
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.5872632862631739
100% Corpus,10,0.9099999999999999,symmetric,0.6093911285542534
100% Corpus,10,symmetric,0.01,0.5601957674925208
100% Corpus,10,symmetric,0.31,0.5998921550948644
100% Corpus,10,symmetric,0.61,0.5914121755299965
100% Corpus,10,symmetric,0.9099999999999999,0.5601833359573221
100% Corpus,10,symmetric,symmetric,0.5895634676283654
100% Corpus,10,asymmetric,0.01,0.5816178803766342
100% Corpus,10,asymmetric,0.31,0.5647959036213047
100% Corpus,10,asymmetric,0.61,0.5693498001785274
100% Corpus,10,asymmetric,0.9099999999999999,0.5709102152458556
100% Corpus,10,asymmetric,symmetric,0.5703362675003342
