Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.01,0.31,0.5637783715613324
75% Corpus,5,0.01,0.61,0.560779147733485
75% Corpus,5,0.01,0.9099999999999999,0.6163616563722503
75% Corpus,5,0.01,symmetric,0.5416600970229202
75% Corpus,5,0.31,0.01,0.5639271854325572
75% Corpus,5,0.31,0.31,0.5659079666643422
75% Corpus,5,0.31,0.61,0.5757690991247794
75% Corpus,5,0.31,0.9099999999999999,0.5832547276632447
75% Corpus,5,0.31,symmetric,0.5707184912429499
75% Corpus,5,0.61,0.01,0.6003423682274052
75% Corpus,5,0.61,0.31,0.6230896332579865
75% Corpus,5,0.61,0.61,0.6138980351698163
75% Corpus,5,0.61,0.9099999999999999,0.6029875351653117
75% Corpus,5,0.61,symmetric,0.623208016019541
75% Corpus,5,0.9099999999999999,0.01,0.5991473161474031
75% Corpus,5,0.9099999999999999,0.31,0.6119252884292953
75% Corpus,5,0.9099999999999999,0.61,0.6260116211308201
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.617848600129172
75% Corpus,5,0.9099999999999999,symmetric,0.6066406838809364
75% Corpus,5,symmetric,0.01,0.5510265668289219
75% Corpus,5,symmetric,0.31,0.5447706154914196
75% Corpus,5,symmetric,0.61,0.5729821217186022
75% Corpus,5,symmetric,0.9099999999999999,0.5776147007615562
75% Corpus,5,symmetric,symmetric,0.5562206419344631
75% Corpus,5,asymmetric,0.01,0.6316944541789212
75% Corpus,5,asymmetric,0.31,0.6062826051798871
75% Corpus,5,asymmetric,0.61,0.5998064400928593
75% Corpus,5,asymmetric,0.9099999999999999,0.6116444959066379
75% Corpus,5,asymmetric,symmetric,0.6492828915148685
75% Corpus,6,0.01,0.01,0.5578405508397228
75% Corpus,6,0.01,0.31,0.5508036543719923
75% Corpus,6,0.01,0.61,0.5678017046302437
75% Corpus,6,0.01,0.9099999999999999,0.5809336922152167
75% Corpus,6,0.01,symmetric,0.5653348643069396
75% Corpus,6,0.31,0.01,0.5900912941578915
75% Corpus,6,0.31,0.31,0.5835520604519986
75% Corpus,6,0.31,0.61,0.5803463963186383
75% Corpus,6,0.31,0.9099999999999999,0.5871848667041891
75% Corpus,6,0.31,symmetric,0.5717148381045359
75% Corpus,6,0.61,0.01,0.5520339609372084
75% Corpus,6,0.61,0.31,0.5626787759259041
75% Corpus,6,0.61,0.61,0.5725849170733291
75% Corpus,6,0.61,0.9099999999999999,0.5816475400279478
75% Corpus,6,0.61,symmetric,0.5533506738552446
75% Corpus,6,0.9099999999999999,0.01,0.5528233845038989
75% Corpus,6,0.9099999999999999,0.31,0.572273540708148
75% Corpus,6,0.9099999999999999,0.61,0.5722004160449222
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5823777117476534
75% Corpus,6,0.9099999999999999,symmetric,0.5708965223890843
75% Corpus,6,symmetric,0.01,0.5732236061965765
75% Corpus,6,symmetric,0.31,0.567674172626996
75% Corpus,6,symmetric,0.61,0.5850671699442843
75% Corpus,6,symmetric,0.9099999999999999,0.5829681990672181
75% Corpus,6,symmetric,symmetric,0.5591500968008449
75% Corpus,6,asymmetric,0.01,0.5699620458460835
75% Corpus,6,asymmetric,0.31,0.5774471802492794
75% Corpus,6,asymmetric,0.61,0.6179351354675584
75% Corpus,6,asymmetric,0.9099999999999999,0.5880630860041536
75% Corpus,6,asymmetric,symmetric,0.5914289312568258
75% Corpus,7,0.01,0.01,0.5649616160538699
75% Corpus,7,0.01,0.31,0.5308819991442685
75% Corpus,7,0.01,0.61,0.5369730380889367
75% Corpus,7,0.01,0.9099999999999999,0.5728007485179948
75% Corpus,7,0.01,symmetric,0.5751113219205893
75% Corpus,7,0.31,0.01,0.57361077719383
75% Corpus,7,0.31,0.31,0.6051583310510653
75% Corpus,7,0.31,0.61,0.6016672475543927
75% Corpus,7,0.31,0.9099999999999999,0.6150705795267816
75% Corpus,7,0.31,symmetric,0.5558997597720865
75% Corpus,7,0.61,0.01,0.5738087001627876
75% Corpus,7,0.61,0.31,0.5578118584472705
75% Corpus,7,0.61,0.61,0.5848868085040714
75% Corpus,7,0.61,0.9099999999999999,0.5725154420012383
75% Corpus,7,0.61,symmetric,0.5427678087928964
75% Corpus,7,0.9099999999999999,0.01,0.603411884864121
75% Corpus,7,0.9099999999999999,0.31,0.5632990492490543
75% Corpus,7,0.9099999999999999,0.61,0.6038026012867714
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5769623430608687
75% Corpus,7,0.9099999999999999,symmetric,0.5826323389899254
75% Corpus,7,symmetric,0.01,0.574835322191987
75% Corpus,7,symmetric,0.31,0.5862724427871637
75% Corpus,7,symmetric,0.61,0.5786159156038047
75% Corpus,7,symmetric,0.9099999999999999,0.5717404894192603
75% Corpus,7,symmetric,symmetric,0.5640446464793044
75% Corpus,7,asymmetric,0.01,0.5848972729530922
75% Corpus,7,asymmetric,0.31,0.5734281653331107
75% Corpus,7,asymmetric,0.61,0.5547922857818931
75% Corpus,7,asymmetric,0.9099999999999999,0.5493760831205629
75% Corpus,7,asymmetric,symmetric,0.6088300596202372
75% Corpus,8,0.01,0.01,0.5473805802753714
75% Corpus,8,0.01,0.31,0.5450880421252748
75% Corpus,8,0.01,0.61,0.5304700172957211
75% Corpus,8,0.01,0.9099999999999999,0.5446615649961057
75% Corpus,8,0.01,symmetric,0.5472689961952517
75% Corpus,8,0.31,0.01,0.5677938867434577
75% Corpus,8,0.31,0.31,0.575936441300685
75% Corpus,8,0.31,0.61,0.5864274461104287
75% Corpus,8,0.31,0.9099999999999999,0.56217065460535
75% Corpus,8,0.31,symmetric,0.5737926652980437
75% Corpus,8,0.61,0.01,0.5620589113854563
75% Corpus,8,0.61,0.31,0.5591282122679788
75% Corpus,8,0.61,0.61,0.5754891402678145
75% Corpus,8,0.61,0.9099999999999999,0.5589150197433131
75% Corpus,8,0.61,symmetric,0.5692008512609229
75% Corpus,8,0.9099999999999999,0.01,0.5635572242820839
75% Corpus,8,0.9099999999999999,0.31,0.5706774117926602
75% Corpus,8,0.9099999999999999,0.61,0.5789245418806002
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5870579584118079
75% Corpus,8,0.9099999999999999,symmetric,0.5843590123282247
75% Corpus,8,symmetric,0.01,0.5464780278772858
75% Corpus,8,symmetric,0.31,0.5566365841397974
75% Corpus,8,symmetric,0.61,0.5534406625052599
75% Corpus,8,symmetric,0.9099999999999999,0.54686925047874
75% Corpus,8,symmetric,symmetric,0.5447773373112056
75% Corpus,8,asymmetric,0.01,0.6119524612050771
75% Corpus,8,asymmetric,0.31,0.631017148218562
75% Corpus,8,asymmetric,0.61,0.5917515000459597
75% Corpus,8,asymmetric,0.9099999999999999,0.5464497021266512
75% Corpus,8,asymmetric,symmetric,0.613664785493486
75% Corpus,9,0.01,0.01,0.5381816590481381
75% Corpus,9,0.01,0.31,0.5284003254643934
75% Corpus,9,0.01,0.61,0.5620227097315573
75% Corpus,9,0.01,0.9099999999999999,0.5890194183977994
75% Corpus,9,0.01,symmetric,0.5552778268087354
75% Corpus,9,0.31,0.01,0.565136918019792
75% Corpus,9,0.31,0.31,0.5853704329641239
75% Corpus,9,0.31,0.61,0.6074808317677379
75% Corpus,9,0.31,0.9099999999999999,0.5876036547687497
75% Corpus,9,0.31,symmetric,0.5714961522432601
75% Corpus,9,0.61,0.01,0.5457020593879123
75% Corpus,9,0.61,0.31,0.5638964406189457
75% Corpus,9,0.61,0.61,0.5683972441754951
75% Corpus,9,0.61,0.9099999999999999,0.5689712471733309
75% Corpus,9,0.61,symmetric,0.5633026617714796
75% Corpus,9,0.9099999999999999,0.01,0.5717972223521063
75% Corpus,9,0.9099999999999999,0.31,0.5869136589076154
75% Corpus,9,0.9099999999999999,0.61,0.5803338699522779
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.5711548319628934
75% Corpus,9,0.9099999999999999,symmetric,0.568994184620745
75% Corpus,9,symmetric,0.01,0.5545939758151257
75% Corpus,9,symmetric,0.31,0.5561256292337791
75% Corpus,9,symmetric,0.61,0.5494678055740537
75% Corpus,9,symmetric,0.9099999999999999,0.5696640102395449
75% Corpus,9,symmetric,symmetric,0.5432688097897779
75% Corpus,9,asymmetric,0.01,0.5528044241094691
75% Corpus,9,asymmetric,0.31,0.5448787449167497
75% Corpus,9,asymmetric,0.61,0.588318341189509
75% Corpus,9,asymmetric,0.9099999999999999,0.6260469052387614
75% Corpus,9,asymmetric,symmetric,0.5738943748581722
75% Corpus,10,0.01,0.01,0.5704941372148306
75% Corpus,10,0.01,0.31,0.5303189818677251
75% Corpus,10,0.01,0.61,0.5474605664950053
75% Corpus,10,0.01,0.9099999999999999,0.5591598761647897
75% Corpus,10,0.01,symmetric,0.5501451840299505
75% Corpus,10,0.31,0.01,0.5879782613107633
75% Corpus,10,0.31,0.31,0.6006244865081296
75% Corpus,10,0.31,0.61,0.5865619467167476
75% Corpus,10,0.31,0.9099999999999999,0.5458511124609345
75% Corpus,10,0.31,symmetric,0.5762284644585779
75% Corpus,10,0.61,0.01,0.5696099470693874
75% Corpus,10,0.61,0.31,0.5599212028890358
75% Corpus,10,0.61,0.61,0.5655494922901381
75% Corpus,10,0.61,0.9099999999999999,0.5611797899328568
75% Corpus,10,0.61,symmetric,0.5626338328426895
75% Corpus,10,0.9099999999999999,0.01,0.5580640681955193
75% Corpus,10,0.9099999999999999,0.31,0.5784489880401391
75% Corpus,10,0.9099999999999999,0.61,0.5818956100253975
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5720199172134098
75% Corpus,10,0.9099999999999999,symmetric,0.5766610691044941
75% Corpus,10,symmetric,0.01,0.556640782472336
75% Corpus,10,symmetric,0.31,0.5825667477726657
75% Corpus,10,symmetric,0.61,0.5305698687532542
75% Corpus,10,symmetric,0.9099999999999999,0.5141833365438215
75% Corpus,10,symmetric,symmetric,0.5655385257285668
75% Corpus,10,asymmetric,0.01,0.5643041677085836
75% Corpus,10,asymmetric,0.31,0.5881191902161208
75% Corpus,10,asymmetric,0.61,0.5520081568273751
75% Corpus,10,asymmetric,0.9099999999999999,0.5730839190473314
75% Corpus,10,asymmetric,symmetric,0.5580659629431112
100% Corpus,2,0.01,0.01,0.568522227835044
100% Corpus,2,0.01,0.31,0.5516619898385213
100% Corpus,2,0.01,0.61,0.5519139382912975
100% Corpus,2,0.01,0.9099999999999999,0.5519139382912976
100% Corpus,2,0.01,symmetric,0.5622540233143192
100% Corpus,2,0.31,0.01,0.5696127121992095
100% Corpus,2,0.31,0.31,0.5683938349993184
100% Corpus,2,0.31,0.61,0.586293491409843
100% Corpus,2,0.31,0.9099999999999999,0.5336874777397126
100% Corpus,2,0.31,symmetric,0.5743323226079271
100% Corpus,2,0.61,0.01,0.585393776143375
100% Corpus,2,0.61,0.31,0.5694740512040711
100% Corpus,2,0.61,0.61,0.5822328655498517
100% Corpus,2,0.61,0.9099999999999999,0.5710822531551365
100% Corpus,2,0.61,symmetric,0.5822328655498517
100% Corpus,2,0.9099999999999999,0.01,0.5916328108573161
100% Corpus,2,0.9099999999999999,0.31,0.582977178289261
100% Corpus,2,0.9099999999999999,0.61,0.5911215582656599
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.5694740512040711
100% Corpus,2,0.9099999999999999,symmetric,0.5694740512040711
100% Corpus,2,symmetric,0.01,0.5981579801538397
100% Corpus,2,symmetric,0.31,0.5710822531551366
100% Corpus,2,symmetric,0.61,0.5786559002293683
100% Corpus,2,symmetric,0.9099999999999999,0.5694740512040712
100% Corpus,2,symmetric,symmetric,0.5804580348047446
100% Corpus,2,asymmetric,0.01,0.5797784358623408
100% Corpus,2,asymmetric,0.31,0.5689312973130395
100% Corpus,2,asymmetric,0.61,0.5754127416532432
100% Corpus,2,asymmetric,0.9099999999999999,0.5736368788357951
100% Corpus,2,asymmetric,symmetric,0.5861445563057701
100% Corpus,3,0.01,0.01,0.5521309825039159
100% Corpus,3,0.01,0.31,0.5699191639370912
100% Corpus,3,0.01,0.61,0.6116100206759648
100% Corpus,3,0.01,0.9099999999999999,0.5732948155968883
100% Corpus,3,0.01,symmetric,0.5740916444949599
100% Corpus,3,0.31,0.01,0.5918460244405899
100% Corpus,3,0.31,0.31,0.6098918232217574
100% Corpus,3,0.31,0.61,0.56298778143754
100% Corpus,3,0.31,0.9099999999999999,0.56298778143754
100% Corpus,3,0.31,symmetric,0.6052757258751728
100% Corpus,3,0.61,0.01,0.5940942001345869
100% Corpus,3,0.61,0.31,0.5865574317284777
100% Corpus,3,0.61,0.61,0.5760355803202372
100% Corpus,3,0.61,0.9099999999999999,0.5716641996653974
100% Corpus,3,0.61,symmetric,0.5722418215716674
100% Corpus,3,0.9099999999999999,0.01,0.5862649675619958
100% Corpus,3,0.9099999999999999,0.31,0.5789755145403218
100% Corpus,3,0.9099999999999999,0.61,0.5719635072444204
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.5796836642299982
100% Corpus,3,0.9099999999999999,symmetric,0.5676904470430423
100% Corpus,3,symmetric,0.01,0.5918460244405899
100% Corpus,3,symmetric,0.31,0.5650739911623938
100% Corpus,3,symmetric,0.61,0.592252213994321
100% Corpus,3,symmetric,0.9099999999999999,0.5661089837178844
100% Corpus,3,symmetric,symmetric,0.5942842978245707
100% Corpus,3,asymmetric,0.01,0.5710342553000308
100% Corpus,3,asymmetric,0.31,0.5879282358518977
100% Corpus,3,asymmetric,0.61,0.585605447631565
100% Corpus,3,asymmetric,0.9099999999999999,0.5866192479708404
100% Corpus,3,asymmetric,symmetric,0.5929560209626432
